Transaction;Tanggal;Items
125001012;Januari 06, 2025;PROMAG SUSPENSI BTL 60 ML, PROMAG TABLET, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ORANGE 30TAB
125001018;Januari 06, 2025;PROMAG HERBAL 15 ML, PROMAG TABLET
125001043;Januari 06, 2025;MIXAGRIP HERBAL GREGES, BEJO JAHE MERAH HERBAL 12 SC
125001047;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KALPANAX KRIM 10 GR, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG STRAW SCH, FATIGON KAPLET 10X6S
125001050;Januari 06, 2025;PUYER OSK BT NO.16/BOX, KALPANAX KRIM 10 GR, ENTROSTOP 10'S
125001066;Januari 06, 2025;KALPANAX SALEP 6G/12, PROMAG SUSPENSI 10ML/6, SKT ABC CURCUMA MADU
125001067;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, WOODS EXPECTORANT 60 ML, WOODS EXPECTORANT 100 ML, WOODS NATURALS SYR 60 ML, FATIGON KAPLET 10X6S
125001069;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR, PROMAG SUSPENSI BTL 60 ML, WOODS COUGH SYR ATT  60ML
125001071;Januari 06, 2025;H2 HEMORID 36 KAPS, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125001074;Januari 06, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY, CEREBROFORT MG MGA SCH, FATIGON KAPLET 10X6S
125001101;Januari 07, 2025;SAKATONIK ACTIV MULTIVIT ZAT BESI - KAPLET 6S, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, SKT ABC CURCUMA MADU
125001106;Januari 07, 2025;KALPANAX K CREAM 5 GR, PUYER OSK BT NO.16/BOX, FATIGON SPIRIT BOX 10X6S, ENTROSTOP 10'S
125001112;Januari 07, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KOMIX OBH PE
125001152;Januari 07, 2025;CEREBROFORT GOLD ORANGE 100 ML, PROMAG HERBAL 15 ML
125001158;Januari 07, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD ORANGE 200 ML, PROMAG SUSPENSI BTL 60 ML, WOODS COUGH SYR ATT  60ML, PROMAG TABLET, SAKATONIK ABC STRAW 30TAB
125001169;Januari 07, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC, CEREBROFORT MG STRAW SCH, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, SKT ABC CURCUMA MADU
125001190;Januari 07, 2025;KOMIX OBH PE, PUYER OSK BT NO.16/BOX
125001191;Januari 07, 2025;WAISAN NEW FORMULA  /LUSIN, KALPANAX K CREAM 5 GR, PROMAG TABLET
125001193;Januari 07, 2025;ENTROSTOP 10'S, PROMAG TABLET
125001209;Januari 07, 2025;KOMIX OBH PE, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125001215;Januari 07, 2025;SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125001244;Januari 07, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR
125001248;Januari 07, 2025;BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL 15 ML, KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KALPANAX KRIM 10 GR, PROMAG SUSPENSI BTL 60 ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, WOODS EXPECTORANT 100 ML, PROMAG TABLET, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ORANGE 30TAB, WOODS'LOZ BLACKCURRANT, WOODS LOZ HONEY LEMON
125001250;Januari 07, 2025;PROMAG HERBAL 15 ML, SKT ACTIV SIRUP 100 ML
125001251;Januari 07, 2025;KALPANAX SALEP 6G/12, WOODS COUGH SYR ATT  60ML
125001259;Januari 07, 2025;BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL PEPPERMINT
125001262;Januari 07, 2025;KOMIX HERBAL 15 ML, PROMAG HERBAL 15 ML
125001278;Januari 07, 2025;KALPANAX K CREAM 5 GR, ENTROSTOP 10'S, SAKATONIK ABC ANGGUR30TAB
125001292;Januari 07, 2025;KOMIX J.NIPIS G-FORMULA B, PROMAG TABLET
125001295;Januari 07, 2025;KALPANAX K CREAM 5 GR, PROMAG HERBAL 15 ML, PROMAG TABLET
125001296;Januari 07, 2025;WAISAN NEW FORMULA  /LUSIN, ENTROSTOP 10'S, PROCOLD FLU PE
125001304;Januari 07, 2025;BEJO JAHE MERAH HERBAL 12 SC, CEREBROVIT XCEL 10 CAPS
125001317;Januari 07, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KALPANAX KRIM 10 GR, KOMIX HERBAL 15 ML, WOODS COUGH SYR ATT  60ML
125001322;Januari 07, 2025;BEJO JAHE MERAH HERBAL 6S MT, WOODS LOZENGES ORANGE VITAMIN C
125001339;Januari 07, 2025;BEJO JAHE MERAH HERBAL 12 SC, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125001342;Januari 07, 2025;KOMIX HERBAL 15 ML, SAKATONIK ABC ANGGUR30TAB
125001346;Januari 07, 2025;EXTRA JOSS SPORT 5 TB, EXTRA JOSS SPORT GEL 2 TB
125001390;Januari 07, 2025;ENTROSTOP 10'S, WOODS LOZENGES 6'S
125001411;Januari 07, 2025;CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG STRAW SCH, SAKATONIK ABC STRAW 30TAB
125001423;Januari 07, 2025;BEJO ANAK JAHE MERAH 5S, KOMIX HERBAL 15 ML, KOMIX HERBAL PEPPERMINT, B7 SLASI JERUK NIPIS 12'S, EXTRA JOSS ACTIVE 12SCH
125001427;Januari 07, 2025;BEJO ANAK JAHE MERAH 5S, B7 SLASI JERUK NIPIS 12'S
125001441;Januari 07, 2025;BEJO JAHE MERAH HERBAL 12 SC, ENTROSTOP 10'S
125001450;Januari 07, 2025;KALPANAX K CREAM 5 GR, BEJO JAHE MERAH HERBAL 12 SC, KOMIX OBH PE
125001451;Januari 07, 2025;PROMAG SUSPENSI BTL 60 ML, PROMAG TABLET
125001452;Januari 07, 2025;SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, SKT ABC CURCUMA MADU
125001465;Januari 07, 2025;KALPANAX SALEP 6G/12, PROMAG HERBAL 15 ML, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG STRAW SCH, FATIGON SPIRIT BOX 10X6S, SAKATONIK ACTIV MULTIVIT ZAT BESI - KAPLET 6S, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB
125001467;Januari 07, 2025;KALPANAX K CREAM 5 GR, PROMAG SUSPENSI 10ML/6, WOODS EXPECTORANT 60 ML, ENTROSTOP 10'S, PROMAG TABLET
125001468;Januari 07, 2025;MIXAGRIP FLU KAPLET 25X4, PROCOLD FLU PE
125001469;Januari 07, 2025;WOODS COUGH SYR ATT  60ML, PROCOLD FLU BATUK PE
125001470;Januari 07, 2025;BEJO JAHE MERAH HERBAL 6S MT, BEJO JAHE MERAH HERBAL 12 SC, EXTRA JOSS SPORT GEL 2 TB, KOMIX HERBAL 15 ML
125001493;Januari 08, 2025;WOODS COUGH SYR ATT 100ML, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB, WOODS LOZENGES 6'S
125001520;Januari 08, 2025;PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML, PROMAG TABLET, SAKATONIK ABC STRAW 30TAB
125001532;Januari 08, 2025;BEJO JAHE MERAH HERBAL 12 SC, KALPANAX K CREAM 5 GR
125001533;Januari 08, 2025;BEJO JAHE MERAH HERBAL 12 SC, PROMAG TABLET, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125001540;Januari 08, 2025;BEJO JAHE MERAH HERBAL 12 SC, PROMAG TABLET, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
